[2019-06-10 15:24:37] [INFO   ] Cross Begin. 
[2019-06-10 15:24:38] [INFO   ] 9 monkey waiting. Living time: 0.004s. 
[2019-06-10 15:24:38] [INFO   ] 4 monkey waiting. Living time: 0.005s. 
[2019-06-10 15:24:38] [INFO   ] 7 monkey waiting. Living time: 0.005s. 
[2019-06-10 15:24:38] [INFO   ] 6 monkey waiting. Living time: 0.005s. 
[2019-06-10 15:24:38] [INFO   ] 8 monkey waiting. Living time: 0.005s. 
[2019-06-10 15:24:38] [INFO   ] 3 monkey waiting. Living time: 0.002s. 
[2019-06-10 15:24:38] [INFO   ] 10 monkey waiting. Living time: 0.004s. 
[2019-06-10 15:24:39] [INFO   ] 1 monkey crossing L->R. Position: 1. Living time: 1.001s. Supposed speed: 1/s. 
[2019-06-10 15:24:39] [INFO   ] 5 monkey crossing L->R. Position: 1. Living time: 1.001s. Supposed speed: 1/s. 
[2019-06-10 15:24:39] [INFO   ] 2 monkey crossing L->R. Position: 1. Living time: 1.002s. Supposed speed: 1/s. 
[2019-06-10 15:24:39] [INFO   ] 4 monkey waiting. Living time: 1.029s. 
[2019-06-10 15:24:39] [INFO   ] 8 monkey waiting. Living time: 1.044s. 
[2019-06-10 15:24:39] [INFO   ] 3 monkey waiting. Living time: 1.046s. 
[2019-06-10 15:24:39] [INFO   ] 10 monkey waiting. Living time: 1.056s. 
[2019-06-10 15:24:40] [INFO   ] 1 monkey crossing L->R. Position: 2. Living time: 2.005s. Supposed speed: 1/s. 
[2019-06-10 15:24:40] [INFO   ] 5 monkey crossing L->R. Position: 2. Living time: 2.011s. Supposed speed: 1/s. 
[2019-06-10 15:24:40] [INFO   ] 2 monkey crossing L->R. Position: 2. Living time: 2.017s. Supposed speed: 1/s. 
[2019-06-10 15:24:40] [INFO   ] 9 monkey crossing L->R. Position: 1. Living time: 2.021s. Supposed speed: 3/s. 
[2019-06-10 15:24:40] [INFO   ] 4 monkey waiting. Living time: 2.033s. 
[2019-06-10 15:24:40] [INFO   ] 7 monkey crossing L->R. Position: 1. Living time: 2.035s. Supposed speed: 3/s. 
[2019-06-10 15:24:40] [INFO   ] 6 monkey crossing L->R. Position: 1. Living time: 2.039s. Supposed speed: 2/s. 
[2019-06-10 15:24:40] [INFO   ] 8 monkey waiting. Living time: 2.047s. 
[2019-06-10 15:24:41] [INFO   ] 19 monkey waiting. Living time: 0.0s. 
[2019-06-10 15:24:41] [INFO   ] 20 monkey waiting. Living time: 0.0s. 
